restaurant_name,cuisine,rating,number_of_ratings,average_price,number_of_offers,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers
Burger King,"Burgers, American",4.2,10K+ ratings,₹350 for two,3,"DEAL OF DAY
60% OFF UPTO ₹120
USE STEALDEALABOVE ₹189, Free Medium Fries
NO CODE REQUIREDABOVE ₹549, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,10000.0,Burgers,0,3
Pizza Hut,Pizzas,3.9,5K+ ratings,₹350 for two,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,5000.0,Pizzas,0,2
Theobroma,"Desserts, Bakery",4.6,1K+ ratings,₹400 for two,2,"40% OFF UPTO ₹80
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,400.0,1000.0,Desserts,0,2
Starbucks Coffee,"Beverages, Cafe",4.2,100+ ratings,₹400 for two,3,"40% OFF UPTO ₹80
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basaveshwaranagar,No,Bangalore,400.0,100.0,Beverages,0,3
KFC,"Burgers, Biryani",4.2,10K+ ratings,₹400 for two,0,No Offer,Basavanagudi,No,Bangalore,400.0,10000.0,Burgers,0,0
McDonald'S,"Burgers, Beverages",4.4,1K+ ratings,₹400 for two,3,"20% OFF UPTO ₹50
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavangudi,No,Bangalore,400.0,1000.0,Burgers,0,3
Domino'S Pizza,"Pizzas, Italian",4.0,1K+ ratings,₹400 for two,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,400.0,1000.0,Pizzas,0,3
Bakingo,"Bakery, Desserts",4.5,1K+ ratings,₹299 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",6th Main Road,No,Bangalore,299.0,1000.0,Bakery,0,1
Lavonne,"Bakery, Desserts",4.6,1K+ ratings,₹750 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",St. Marks Road,No,Bangalore,750.0,1000.0,Bakery,0,1
Vidyarthi Bhavan,South Indian,4.5,10K+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,150.0,10000.0,South Indian,0,1
Chaayos Chai+Snacks=Relax,"Bakery, Beverages",4.2,100+ ratings,₹250 for two,4,"60% OFF UPTO ₹120
USE SPECIALSON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹200 OFF
USE FLAT200ABOVE ₹799",Magadi Road,No,Bangalore,250.0,100.0,Bakery,0,4
Hari Super Sandwich (3rd Block),"Chaat, Snacks",4.2,10K+ ratings,₹100 for two,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,100.0,10000.0,Chaat,0,4
Puliyogare Point,South Indian,4.6,10K+ ratings,₹150 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹750, SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,150.0,10000.0,South Indian,1,4
Szechuan Dragon,"Chinese, Thai",4.2,10K+ ratings,₹500 for two,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",HanumanthaNagar,No,Bangalore,500.0,10000.0,Chinese,0,5
Cafe Amudham,"South Indian, Snacks",4.6,1K+ ratings,₹400 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,400.0,1000.0,South Indian,1,3
Ayodhya Upachar,"South Indian, North Indian",4.4,10K+ ratings,₹200 for two,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, Free Kesari Bath
NO CODE REQUIREDABOVE ₹400, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,Yes,Bangalore,200.0,10000.0,South Indian,1,5
Richie Rich,"Desserts, Snacks",4.5,10K+ ratings,₹500 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Race Course Road,Yes,Bangalore,500.0,10000.0,Desserts,1,1
Pathaan Sir,"Snacks, Fast Food",3.6,20+ ratings,₹200 for two,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,200.0,20.0,Snacks,0,4
Sri Vishnu Grand,"South Indian, North Indian",4.3,100+ ratings,₹200 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,Yes,Bangalore,200.0,100.0,South Indian,1,4
Roti Ghar,"Chinese, South Indian",4.3,10K+ ratings,₹400 for two,3,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹800, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,400.0,10000.0,Chinese,1,3
By 2 Coffee,South Indian,4.6,1K+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chamarajpet,Yes,Bangalore,100.0,1000.0,South Indian,1,1
Sri Venkateshwara Sweet Meat Stall,"Snacks, Sweets",4.5,1K+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,300.0,1000.0,Snacks,1,1
Karnataka Bhel House,Chaat,4.5,5K+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,100.0,5000.0,Chaat,1,1
Hotel Dwarka,South Indian,4.5,10K+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,10000.0,South Indian,1,1
New Udupi Upahar,"North Indian, South Indian",4.6,100+ ratings,₹300 for two,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Bangalore,Yes,Bangalore,300.0,100.0,North Indian,1,2
Sandwich Guru,"Snacks, Beverages",4.3,1K+ ratings,₹99 for two,5,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299",Basavanagudi,Yes,Bangalore,99.0,1000.0,Snacks,1,5
Old Madras Baking Company,"Bakery, Desserts",4.5,100+ ratings,₹450 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",St. Marks road,No,Bangalore,450.0,100.0,Bakery,0,1
IDC Kitchen,"South Indian, North Indian",4.6,5K+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sampangirama Nagar,Yes,Bangalore,150.0,5000.0,South Indian,1,1
Bombay Vadapav Corner,North Indian,4.5,1K+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Malleshwaram,Yes,Bangalore,100.0,1000.0,North Indian,1,1
Gullu'S Chaat,"Chaat, Snacks",4.1,10K+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Seshadripuram,Yes,Bangalore,250.0,10000.0,Chaat,1,1
Indraprastha Vegetarian,"South Indian, North Indian",4.5,10K+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vijayanagar,Yes,Bangalore,300.0,10000.0,South Indian,1,1
Andhra Ruchulu,"Andhra, Chinese",4.5,100+ ratings,₹600 for two,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, Free Payasam
NO CODE REQUIREDABOVE ₹599, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,600.0,100.0,Andhra,0,4
Kamat Hotel,South Indian,4.4,20+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,20.0,South Indian,1,1
LJ Iyengar Bakery,Bakery,4.2,100+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,150.0,100.0,Bakery,0,1
Sreeraj Lassi Bar 1973S,"Desserts, Juices",4.3,500+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shantinagar,Yes,Bangalore,250.0,500.0,Desserts,1,1
Hari Super Sandwich,Fast Food,4.1,10K+ ratings,₹100 for two,5,"60% OFF UPTO ₹115
USE TRYNEWABOVE ₹179, Free Pani Puri
NO CODE REQUIREDABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,100.0,10000.0,Fast Food,1,5
Firangi Falooda,"Desserts, Beverages",3.8,20+ ratings,₹250 for two,3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,250.0,20.0,Desserts,1,3
Rolls Kitchen,Fast Food,4.4,10K+ ratings,₹200 for two,3,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shanti Nagar,No,Bangalore,200.0,10000.0,Fast Food,0,3
Chinese Square,"Chinese, Beverages",4.2,500+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,150.0,500.0,Chinese,1,1
Udupi Grand,"Chinese, North Indian",4.5,1K+ ratings,₹500 for two,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,500.0,1000.0,Chinese,1,2
Asha Sweet Center - Since 1951,"Sweets, Snacks",4.5,1K+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,250.0,1000.0,Sweets,1,1
Sangam Sweets,"North Indian, Desserts",4.6,1K+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,Yes,Bangalore,100.0,1000.0,North Indian,1,1
"Faasos - Wraps, Rolls & Shawarma","Kebabs, Fast Food",4.3,1K+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shantinagar,No,Bangalore,200.0,1000.0,Kebabs,0,1
A2B - Adyar Ananda Bhavan,"South Indian, North Indian",4.5,10K+ ratings,₹300 for two,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,300.0,10000.0,South Indian,1,4
Chaatimes,"Chaat, Beverages",4.3,10K+ ratings,₹150 for two,5,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",HanumanthaNagar,Yes,Bangalore,150.0,10000.0,Chaat,1,5
Paakashala,Indian,4.4,100+ ratings,₹500 for two,4,"50% OFF UPTO ₹95
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,500.0,100.0,Indian,1,4
India Sweet House,"Sweets, Street Food",0.0,No Ratings,₹200 for two,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,0.0,Sweets,1,4
Trattoria By Toscano,"Italian, Pizzas",4.3,500+ ratings,₹900 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, SAVE BIG
20% OFF UPTO ₹125
USE JUMBOABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,900.0,500.0,Italian,0,4
Kulfi Shulfi (Bombay Kulfis),"North Indian, Desserts",4.7,1K+ ratings,₹100 for two,5,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹479",Basavanagudi,Yes,Bangalore,100.0,1000.0,North Indian,1,5
Natraj Chole Bhature,"Indian, Chaat",4.3,5K+ ratings,₹299 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,299.0,5000.0,Indian,1,4
Wendy'S,"Burgers, American",4.2,1K+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Residency Road,No,Bangalore,200.0,1000.0,Burgers,0,1
Juice Junction,"Beverages, Juices",4.5,1K+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Wilson Garden,Yes,Bangalore,150.0,1000.0,Beverages,1,1
Five Star Chicken,Burgers,4.6,20+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,No,Bangalore,200.0,20.0,Burgers,0,1
Shree Mahalakshmi Sweets,"Sweets, Snacks",4.3,500+ ratings,₹200 for two,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,500.0,Sweets,1,2
NOTO - Ice Creams & Desserts,"Ice Cream, Desserts",4.3,100+ ratings,₹250 for two,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, Free Aam Ras Gelato Ice Cream [100 Ml]
NO CODE REQUIREDABOVE ₹399, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,250.0,100.0,Ice Cream,1,4
New Shanti Sagar,"South Indian, Chinese",4.3,10K+ ratings,₹200 for two,3,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajajinagar,Yes,Bangalore,200.0,10000.0,South Indian,1,3
Popeyes,"American, Burgers",4.3,500+ ratings,₹500 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹550, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandra Layout,No,Bangalore,500.0,500.0,American,0,3
GLOBO Ice Creams Of The World,"Ice Cream, Desserts",4.0,10+ ratings,₹150 for two,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹299, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mysore Road,No,Bangalore,150.0,10.0,Ice Cream,0,3
Tea Time,"Beverages, Snacks",0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,0.0,Beverages,1,1
Sri Udupi Food Hub,"South Indian, North Indian",4.3,500+ ratings,₹200 for two,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, Free Jamun(1pc)
NO CODE REQUIREDABOVE ₹340, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhi Nagar,Yes,Bangalore,200.0,500.0,South Indian,1,5
Nandhini Deluxe,"Andhra, Chinese",4.3,10K+ ratings,₹550 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,550.0,10000.0,Andhra,0,4
Chaat Ka Chaska,"Chaat, Fast Food",3.9,20+ ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,400.0,20.0,Chaat,1,1
Subway,"Salads, Snacks",4.2,10K+ ratings,₹350 for two,2,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, 20% OFF UPTO ₹60
USE JUMBOABOVE ₹249",Basavanagudi,No,Bangalore,350.0,10000.0,Salads,0,2
Udupi Aatithya,"South Indian, Beverages",4.4,100+ ratings,₹500 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,500.0,100.0,South Indian,1,1
California Burrito,"Mexican, American",4.6,1K+ ratings,₹250 for two,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,250.0,1000.0,Mexican,0,2
Sorbetto - Ice Creams,"Ice Cream, Desserts",4.4,50+ ratings,₹250 for two,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vasanth Nagar,Yes,Bangalore,250.0,50.0,Ice Cream,1,3
K C Das,"Bakery, Sweets",4.3,100+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,100.0,100.0,Bakery,1,1
Donne Biryani House,"Biryani, South Indian",4.2,5K+ ratings,₹300 for two,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Malleshwaram,No,Bangalore,300.0,5000.0,Biryani,0,4
Third Wave Coffee,"Beverages, Bakery",4.3,500+ ratings,₹400 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,400.0,500.0,Beverages,0,3
Pure Veg Meals By Lunchbox,"Biryani, North Indian",4.0,20+ ratings,₹200 for two,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shantinagar,Yes,Bangalore,200.0,20.0,Biryani,1,2
Faasos' Signature Wraps & Rolls,"Fast Food, Snacks",4.4,10+ ratings,₹350 for two,2,"FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shantinagar,No,Bangalore,350.0,10.0,Fast Food,0,2
Punjabi Dhaba,Punjabi,4.3,100+ ratings,₹350 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,No,Bangalore,350.0,100.0,Punjabi,0,1
Amma'S Pastries,"Bakery, Desserts",4.0,100+ ratings,₹350 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,350.0,100.0,Bakery,0,1
MTR,South Indian,4.5,10K+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,Yes,Bangalore,300.0,10000.0,South Indian,1,1
Apna Dhaba,"Punjabi, Jain",4.0,100+ ratings,₹300 for two,2,"FLAT 50% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,300.0,100.0,Punjabi,1,2
La Pino'Z Pizza,"Pizzas, Pastas",4.2,1K+ ratings,₹220 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹699, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,220.0,1000.0,Pizzas,1,4
Thalairaj Biryani,"Biryani, Indian",4.3,1K+ ratings,₹300 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sadashiva Nagar,No,Bangalore,300.0,1000.0,Biryani,0,3
Al-Bek,"Arabian, Tandoor",4.2,5K+ ratings,₹500 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajajinagar,No,Bangalore,500.0,5000.0,Arabian,0,1
Namaste,"South Indian, Thalis",4.2,5K+ ratings,₹100 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vijayanagar,Yes,Bangalore,100.0,5000.0,South Indian,1,4
Imperial Restaurant Since 1954,"Chinese, South Indian",4.2,10K+ ratings,₹400 for two,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mysore Road,No,Bangalore,400.0,10000.0,Chinese,0,2
Aubree,"Desserts, Bakery",4.6,1K+ ratings,₹700 for two,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹299, DEFAULT
FLAT ₹200 OFF
USE CELEBRATIONSABOVE ₹899, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999",Shivajinagar,Yes,Bangalore,700.0,1000.0,Desserts,1,5
Lo! - Low Carb And Keto Foods,Fast Food,4.3,50+ ratings,₹500 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,No,Bangalore,500.0,50.0,Fast Food,0,4
Iyengars Bakery,"Bakery, Ice Cream",4.5,10K+ ratings,₹50 for two,2,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,50.0,10000.0,Bakery,0,2
RNR Biryani - Taste Of 1953,"Biryani, South Indian",4.4,1K+ ratings,₹350 for two,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,350.0,1000.0,Biryani,0,2
McDonald'S Gourmet Burger Collection,"Burgers, Beverages",3.9,50+ ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,400.0,50.0,Burgers,0,1
"WeFit-Bowls, Salads & Sandwiches","Healthy Food, Salads",4.4,20+ ratings,₹250 for two,0,No Offer,Azad Nagar,No,Bangalore,250.0,20.0,Healthy Food,0,0
LeanCrust Pizza- ThinCrust Experts,"Pizzas, Italian",4.2,20+ ratings,₹300 for two,4,"60% OFF UPTO ₹120
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mysore Road,No,Bangalore,300.0,20.0,Pizzas,0,4
NH1 Bowls - Highway To North,"North Indian, Punjabi",4.5,100+ ratings,₹250 for two,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mysore Road,No,Bangalore,250.0,100.0,North Indian,0,3
